genre	subgenre	url
Community	Community	/categories/934
Community	Campus Spot	/categories/133
Community	Administration	/categories/135
Community	Campus Commons	/categories/138
Community	Campus - Other	/categories/153
Community	Dormitory	/categories/139
Community	Frat House	/categories/140
Community	Hall	/categories/141
Community	Lab	/categories/142
Community	Rec Center	/categories/143
Community	Sorority House	/categories/144
Community	Student Center	/categories/145
Community	Government	/categories/218
Community	City Hall	/categories/125
Community	Courthouse	/categories/126
Community	Fire Station	/categories/182
Community	Police Station	/categories/183
Community	Post Office	/categories/235
Community	Home	/categories/21
Community	Apartment	/categories/20
Community	Condo	/categories/29
Community	Craftsman	/categories/89
Community	Duplex	/categories/87
Community	Modern	/categories/90
Community	Victorian	/categories/88
Community	Library	/categories/102
Community	Office	/categories/936
Community	Corporate Office	/categories/121
Community	Coworking	/categories/939
Community	Non-Profit	/categories/938
Community	Skyscraper	/categories/23
Community	Startup	/categories/937
Community	Warehouse & Industrial	/categories/170
Community	Place of Worship	/categories/205
Community	Church	/categories/65
Community	Contemporary Church	/categories/68
Community	Historic Church	/categories/22
Community	Mission	/categories/69
Community	Mosque	/categories/70
Community	Other - Place of Worship	/categories/208
Community	Synagogue	/categories/71
Community	Temple	/categories/184
Community	School	/categories/127
Community	College	/categories/149
Community	High School	/categories/152
Community	Law School	/categories/147
Community	Medical School	/categories/148
Community	School - Other	/categories/940
Community	Trade/Tech School	/categories/151
Community	University	/categories/134
Entertainment	Entertainment	/categories/12
Entertainment	Aquarium	/categories/76
Entertainment	Arcade	/categories/74
Entertainment	Arena or Stadium	/categories/928
Entertainment	Arena	/categories/662
Entertainment	Baseball Stadium	/categories/929
Entertainment	Soccer Stadium	/categories/390
Entertainment	Stadium	/categories/79
Entertainment	Art	/categories/935
Entertainment	Asian Art Museum	/categories/72
Entertainment	Gallery	/categories/188
Entertainment	Modern Art Museum	/categories/52
Entertainment	Sculpture	/categories/51
Entertainment	Traditional Art Museum	/categories/50
Entertainment	Art & Culture	/categories/136
Entertainment	Bowling	/categories/215
Entertainment	Casino	/categories/77
Entertainment	Convention Center	/categories/243
Entertainment	Disc Golf Course	/categories/393
Entertainment	Golf Course	/categories/42
Entertainment	Ice Skating	/categories/663
Entertainment	Live Music	/categories/32
Entertainment	Local Sports	/categories/930
Entertainment	Baseball Field	/categories/933
Entertainment	Basketball Court	/categories/223
Entertainment	Football Field	/categories/932
Entertainment	Soccer Field	/categories/391
Entertainment	Tennis Court	/categories/931
Entertainment	Movie Theatre	/categories/30
Entertainment	Museum	/categories/207
Entertainment	History Museum	/categories/73
Entertainment	Planetarium	/categories/213
Entertainment	Science Museum	/categories/212
Entertainment	Other - Entertainment	/categories/58
Entertainment	Performing Arts	/categories/31
Entertainment	Racetrack	/categories/78
Entertainment	Skatepark	/categories/211
Entertainment	Theatre	/categories/103
Entertainment	Theme Park	/categories/75
Entertainment	Zoo	/categories/33
Entertainment	Aviary	/categories/349
Entertainment	Bears	/categories/350
Entertainment	Elephants	/categories/351
Entertainment	Giraffes	/categories/352
Entertainment	Hippos	/categories/353
Entertainment	Lions	/categories/354
Entertainment	Other - Zoo	/categories/359
Entertainment	Primates	/categories/356
Entertainment	Reptiles	/categories/355
Entertainment	Tigers	/categories/357
Entertainment	Zebras	/categories/358
Food	Food	/categories/7
Food	African	/categories/84
Food	American	/categories/16
Food	Asian	/categories/925
Food	Asian Food	/categories/18
Food	Pan Pacific	/categories/85
Food	Sushi	/categories/159
Food	Thai	/categories/926
Food	Vietnamese	/categories/927
Food	Bakery	/categories/110
Food	BBQ	/categories/17
Food	Breakfast	/categories/123
Food	Burgers	/categories/154
Food	Coffee Shop	/categories/1
Food	Dessert	/categories/80
Food	Candy Store	/categories/180
Food	Chocolate	/categories/908
Food	Frozen Yogurt	/categories/913
Food	Ice Cream	/categories/909
Food	Snow Cones	/categories/912
Food	Diner	/categories/124
Food	Doughnuts	/categories/361
Food	Fine Dining	/categories/236
Food	Fish & Chips	/categories/412
Food	French	/categories/82
Food	Indian	/categories/160
Food	Italian	/categories/19
Food	Mediterranean	/categories/98
Food	Mexican	/categories/15
Food	Middle Eastern	/categories/83
Food	Other - Food 	/categories/64
Food	Pizza	/categories/155
Food	Sandwich Shop	/categories/101
Food	Seafood	/categories/86
Food	Soul Food	/categories/237
Food	South American/Latin	/categories/81
Food	Steakhouse	/categories/100
Food	Street Fare	/categories/178
Food	Hot Dogs & Sausages	/categories/187
Food	Other - Street Fare	/categories/204
Food	Tacos	/categories/189
Food	Tea Room	/categories/171
Food	Vegetarian	/categories/161
Food	Vineyard	/categories/157
Food	Wings	/categories/67
Nightlife	Nightlife	/categories/4
Nightlife	Bar	/categories/241
Nightlife	Dancefloor	/categories/25
Nightlife	Dive Bar	/categories/28
Nightlife	Karaoke	/categories/177
Nightlife	Microbrewery	/categories/167
Nightlife	Other - Nightlife 	/categories/56
Nightlife	Pub	/categories/24
Nightlife	Saloon	/categories/97
Nightlife	Sports Bar	/categories/130
Nightlife	Ultra-lounge	/categories/26
Nightlife	Wine Bar	/categories/27
Outdoors	Outdoors	/categories/5
Outdoors	Architecture	/categories/13
Outdoors	Castle	/categories/185
Outdoors	Historic Landmark	/categories/166
Outdoors	Lighthouse	/categories/216
Outdoors	Monument	/categories/63
Outdoors	Other - Architecture	/categories/60
Outdoors	Tower	/categories/146
Outdoors	Beach	/categories/99
Outdoors	Canal	/categories/176
Outdoors	Cave	/categories/181
Outdoors	Cemetery	/categories/162
Outdoors	Dog Park	/categories/364
Outdoors	Farm	/categories/209
Outdoors	Fountain	/categories/150
Outdoors	Garden	/categories/214
Outdoors	Lake/River	/categories/115
Outdoors	Park	/categories/942
Outdoors	Campground	/categories/111
Outdoors	City Park	/categories/38
Outdoors	National Park	/categories/41
Outdoors	Park - Other	/categories/55
Outdoors	Regional/State Park	/categories/39
Outdoors	Trailhead	/categories/941
Outdoors	Pavilion	/categories/116
Outdoors	Playground	/categories/37
Outdoors	Plaza/Square	/categories/165
Outdoors	Pool	/categories/386
Outdoors	Scenic Lookout	/categories/105
Outdoors	Ski & Snowboard Area	/categories/131
Outdoors	Chalet	/categories/197
Outdoors	Glade	/categories/194
Outdoors	Gondola	/categories/219
Outdoors	Halfpipe	/categories/198
Outdoors	Lifthouse	/categories/196
Outdoors	Summit	/categories/220
Outdoors	Terrain Park	/categories/195
Outdoors	Vineyard	/categories/157
Shopping	Shopping	/categories/6
Shopping	Antiques	/categories/91
Shopping	Apparel	/categories/35
Shopping	Accessories	/categories/239
Shopping	Children's Apparel	/categories/238
Shopping	Men's Apparel	/categories/221
Shopping	Shoes	/categories/240
Shopping	Women's Apparel	/categories/222
Shopping	Bank & Financial	/categories/186
Shopping	Bookstore	/categories/96
Shopping	Crafts & Creative	/categories/420
Shopping	Department Store	/categories/661
Shopping	Discount Store	/categories/202
Shopping	Drugstore & Pharmacy	/categories/201
Shopping	Farmers Market	/categories/917
Shopping	Flower Shop	/categories/229
Shopping	Furniture	/categories/53
Shopping	Gas & Automotive	/categories/119
Shopping	Grocery	/categories/106
Shopping	Gym	/categories/360
Shopping	Hardware Store	/categories/200
Shopping	Health & Fitness	/categories/118
Shopping	Mall	/categories/11
Shopping	Medical	/categories/191
Shopping	Dentist	/categories/190
Shopping	Doctor's Office	/categories/192
Shopping	Hospital	/categories/132
Shopping	Other - Medical	/categories/210
Shopping	Movie Rental	/categories/242
Shopping	Music	/categories/911
Shopping	Other - Services	/categories/217
Shopping	Other - Shopping	/categories/54
Shopping	Paper Goods	/categories/163
Shopping	Pet Store	/categories/173
Shopping	Record Store	/categories/193
Shopping	Salon & Barbershop	/categories/117
Shopping	Sports & Outdoors	/categories/61
Shopping	Bike Shop	/categories/392
Shopping	Camping & Outdoors	/categories/416
Shopping	Golf Shop	/categories/414
Shopping	Other Sports	/categories/413
Shopping	Running	/categories/418
Shopping	Skate Shop	/categories/417
Shopping	Ski Shop	/categories/415
Shopping	Tattoo Parlor	/categories/347
Shopping	Technology	/categories/36
Shopping	Thrift Store	/categories/34
Shopping	Tobacco & Cigars	/categories/109
Shopping	Toys & Games	/categories/62
Shopping	Veterinarian	/categories/365
Shopping	Wine & Spirits	/categories/362
Travel	Travel	/categories/3
Travel	Airport	/categories/45
Travel	Terminal	/categories/224
Travel	Tram	/categories/226
Travel	Bridge	/categories/128
Travel	Bus Station	/categories/46
Travel	Ferry	/categories/172
Travel	Hotel	/categories/199
Travel	Antique Hotel	/categories/43
Travel	Bed & Breakfast	/categories/92
Travel	Hostel	/categories/93
Travel	Luxury Hotel	/categories/49
Travel	Modern Hotel	/categories/47
Travel	Motel	/categories/44
Travel	Light Rail	/categories/94
Travel	Rental Car	/categories/227
Travel	Resort	/categories/48
Travel	Subway	/categories/164
Travel	Train Station	/categories/95
Travel	Travel-Other	/categories/57
